Site,Col_company,Col_recruit,Col_detail,Col_url
Saramin,넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴,"['서울 강남구', '신입', '대졸↑', '인턴직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52862566&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)넥슨코리아,[인텔리전스랩스그룹] 게임 데이터 분석가,"['경기 성남시 분당구', '경력', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53157515&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)에스피파트너스,AI·빅데이터 분석 및 컨설팅 신입·경력 채용,"['경기 수원시 영통구', '신입·경력', '대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52799426&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)넥슨코리아,[플랫폼본부] 마비노기시너지실 데이터 분석가,"['경기 성남시 분당구', '경력무관', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53079023&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)넥슨코리아,[플랫폼본부] 데이터 분석가,"['경기 성남시 분당구', '경력3년↑', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53078333&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,넛지헬스케어(주),[캐시워크] 데이터분석가 - 석사/박사,"['서울 강남구', '경력무관', '석사↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52862558&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,케어네이션(주),[CARENATION] 데이터 분석가 모집,"['서울 강남구', '경력무관', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52887093&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,씨앤토트(주),데이터 시각화 및 분석 (경력),"['서울 서초구', '경력 3~10년', '고졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52797733&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)우아한형제들,"딜리버리 데이터 분석가 모집(경력무관, 기간제)","['서울전체', '경력무관', '학력무관', '기간제·계약직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53090648&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 인턴 모집","['서울 강남구', '경력무관', '대졸↑', '인턴직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53172234&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
