Site,Col_company,Col_recruit,Col_detail,Col_url
Job_Korea,핫셀러,데이터 분석을 통해 앱 서비스를 성공시킬 기획자 채용,"['서울 동대문구', '솔루션·SI·CRM·ERP, 웹기획, PL·PM·PO, AI기획자', '홈페이지 지원', '경력3년↑', '명절선물/명절상여 지원, 음료/간식 지원, 생일 이벤트, 성과급, 건강검진 지원, 연차제도, 휴가제도, 식사 지원, 웰컴키트, 야근 없음', '02/19(목) 등록', '04/20(월) 마감']",https://www.jobkorea.co.kr/Recruit/GI_Read/48621640?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=1&sc=630
Job_Korea,㈜그라비티,[그라비티] 데이터 분석 인원 경력 채용,"['서울 마포구', '게임·애니메이션, DBA, 데이터사이언티스트, 데이터분석가', '즉시 지원', '경력3년↑', '경조사 지원, 유연근무, 복지포인트, 건강검진 지원, 상해보험, 자기개발비, 휴식공간, 반차제도, 자율복장', '02/12(목) 등록', '04/13(월) 마감']",https://www.jobkorea.co.kr/Recruit/GI_Read/48596444?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=2&sc=630
Job_Korea,피엠인터내셔널코리아(유),시니어 AI 및 데이터 분석 전문가,"['서울 영등포구', '무역·상사, 데이터분석가', '즉시 지원', '경력5년↑', '유연근무, 생일 이벤트, 건강검진 지원, 육아수당, 휴가제도', '02/02(월) 등록', '03/04(수) 마감']",https://www.jobkorea.co.kr/Recruit/GI_Read/48524127?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=3&sc=630
Job_Korea,메가존클라우드㈜,보안 데이터 분석 엔지니어 채용 (SIEM/SOAR/Senior),"['경기 과천시', '솔루션·SI·CRM·ERP, 데이터엔지니어, 데이터사이언티스트, 보안엔지니어', '홈페이지 지원', '신입·경력1년↑', '음료/간식 지원, 웰컴키트, 카페테리아', '02/19(목) 등록', '상시채용']",https://www.jobkorea.co.kr/Recruit/GI_Read/48621745?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=4&sc=630
Job_Korea,㈜딥마인,"데이터 분석, 수요 예측 분석 채용","['서울 영등포구 외 3', '솔루션·SI·CRM·ERP, AI/ML엔지니어', '연봉 3,000~6,000만원', '즉시 지원', '신입·경력', '01/23(금) 등록', '상시채용']",https://www.jobkorea.co.kr/Recruit/GI_Read/48475038?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=5&sc=630
Job_Korea,이지코어솔루션즈,AI 기획 / 데이터 분석 모집,"['서울 금천구', '솔루션·SI·CRM·ERP, 웹개발자, 데이터엔지니어, 데이터사이언티스트', '즉시 지원', '경력1년↑', '경조사 지원, 명절선물/명절상여 지원, 장기근속 포상제도, 포상제도, 연차제도, 4대보험, 퇴직금, 주5일제, 월차제도', '02/06(금) 등록', '03/08(일) 마감']",https://www.jobkorea.co.kr/Recruit/GI_Read/48559026?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=6&sc=630
Job_Korea,삼양식품㈜,[삼양식품] 커머셜 마케팅 데이터 분석 매니저,"['서울 중구', '식품가공, 경영·비즈니스기획', '홈페이지 지원', '경력5년↑', '01/16(금) 등록', '03/17(화) 마감']",https://www.jobkorea.co.kr/Recruit/GI_Read/48424252?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=7&sc=630
Job_Korea,㈜에이티움,"데이터전략팀 데이터 분석, 개발","['서울 강남구 외 5', '제약·보건·바이오, 데이터엔지니어, 데이터사이언티스트, AI/ML엔지니어', '즉시 지원', '경력5년↑', '경조사 지원, 유연근무, 음료/간식 지원, 생일 이벤트, 점심 식사 지원, 자기개발비, 반차제도, 회식비 지원', '02/09(월) 등록', '03/11(수) 마감']",https://www.jobkorea.co.kr/Recruit/GI_Read/48569259?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=8&sc=630
Job_Korea,㈜바이오컴,[AI 헬스케어] 데이터 분석 전문가 채용,"['서울 강서구', '제약·보건·바이오, 경영·비즈니스기획, CRM마케터, 데이터사이언티스트', '즉시 지원', '경력4년↑', '01/26(월) 등록', '상시채용']",https://www.jobkorea.co.kr/Recruit/GI_Read/48479531?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=9&sc=630
Job_Korea,㈜인사이트코리아,마케팅조사 경력 연구원 모집,"['서울 서초구', '컨설팅·연구·조사, 설문·리서치', '즉시 지원', '경력', '01/19(월) 등록', '03/20(금) 마감']",https://www.jobkorea.co.kr/Recruit/GI_Read/48438039?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=10&sc=630
Job_Korea,한영회계법인,컨설팅부문 기업 R&D-NPD 데이터 분석 및 Case Study 인턴,"['서울 영등포구', '회계·세무·법무, 경영·비즈니스기획, 컨설턴트', '홈페이지 지원', '신입', '02/23(월) 등록', '03/02(월) 마감']",https://www.jobkorea.co.kr/Recruit/GI_Read/48646805?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=11&sc=630
Job_Korea,㈜블록스퀘어랩스,데이터 분석 및 관리자 채용(정규직),"['서울 송파구', 'IT컨설팅, 데이터분석가', '즉시 지원', '경력무관', '01/26(월) 등록', '상시채용']",https://www.jobkorea.co.kr/Recruit/GI_Read/48481031?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=12&sc=630
Job_Korea,㈜인사이트코리아,마케팅조사 신입 연구원 모집,"['서울 서초구', '컨설팅·연구·조사, 설문·리서치', '즉시 지원', '신입', '01/19(월) 등록', '03/20(금) 마감']",https://www.jobkorea.co.kr/Recruit/GI_Read/48435701?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=13&sc=630
Job_Korea,굿리치㈜,[본사] GA보험대리점 영업실적 데이터 분석 및 관리,"['서울 중구', '증권·보험·카드, 영업관리, 영업지원, 금융사무', '즉시 지원', '경력4년↑', '경조사 지원, 명절선물/명절상여 지원, 유연근무, 임직원 할인, 복지포인트, 건강검진 지원, 사내 동호회 지원, 패밀리데이, 수평적 조직문화, 교육/세미나/스터디, 구내식당, 휴가제도', '01/30(금) 등록', '03/01(일) 마감']",https://www.jobkorea.co.kr/Recruit/GI_Read/48514208?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=14&sc=630
Job_Korea,㈜딜리버스,[스타트업]DATA 분석 인턴 채용,"['서울 성동구', '물류·운송·배송, 데이터엔지니어, 데이터사이언티스트', '홈페이지 지원', '신입', '경조사 지원, 음료/간식 지원, 건강검진 지원, 자기개발비, 연차제도, 반차제도, 자율복장', '02/20(금) 등록', '03/22(일) 마감']",https://www.jobkorea.co.kr/Recruit/GI_Read/48632614?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=15&sc=630
Job_Korea,㈜큐로드,[수원] 데이터 분석 담당자 채용,"['경기 수원시', '게임·애니메이션, 웹기획, 사무담당자, 데이터사이언티스트', '즉시 지원', '경력무관', '출퇴근 셔틀버스 운영', '02/24(화) 등록', '03/03(화) 마감']",https://www.jobkorea.co.kr/Recruit/GI_Read/48655634?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=16&sc=630
Job_Korea,㈜스르르,[온라인MD] NUVN에서 성과/데이터 분석형 MD 채용합니다,"['서울 마포구', '생활용품·소비재·기타, 마케팅기획, 퍼포먼스마케터, MD', '즉시 지원', '경력무관', '연차제도', '02/23(월) 등록', '03/24(화) 마감']",https://www.jobkorea.co.kr/Recruit/GI_Read/48637554?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&listno=17&sc=630
